Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єсипенко,Йосип,Михайлович,Чоловік,1951-05-06,Літературознавець,село Бібрка,"сквер Восьмого Березня Лінія 3-тя, буд. 1 кв. 8, Миколаїв, 47147",+380 30 587 11 14,avrelii48@example.com
Скирда,Спас,Григорійович,Чоловік,1943-11-23,Няня,село Сторожинець,"площа Князівська, буд. 89, Карлівка, 85915",+380 73 253-72-61,herman46@example.net
Тягнибок,Мирослав,Миколайович,Чоловік,1952-10-10,Кінолог,село Жовква,"шосе Косовська, буд. 34, Ладижин, 70420",+380 72 226-53-35,venedykt19@example.org
Ісаєвич,Аврелій,Миколайович,Чоловік,1992-03-07,Інженер,хутір Лозова ,"проспект Небесної Сотні, буд. 40 кв. 60, Донецьк, 99196",032 671-82-22,iosyp27@example.org
Байрак,Леонтій,Федорович,Чоловік,2006-09-28,Бізнесмен,селище Скадовськ,"шосе Дорбуду, буд. 8 кв. 0, Чоп, 16402",+380 29 153-67-83,vkhorishko@example.org
Баран,Климент,Вікторович,Чоловік,1951-05-25,Випробувач,хутір Прип'ять ,"вулиця 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 1, Корюківка, 08120",+380 76 031-60-23,hlibkyrylenko@example.net
Жайворон,Микита,Михайлович,Чоловік,1972-09-02,Ґрунтознавець,місто Тисмениця,"провулок Агрономічний, буд. 070, Бахмут, 61347",+380 (84) 029-46-09,orysiaieromenko@example.com
Щорс,Ігор,Федорович,Чоловік,2006-08-08,Клавішник,хутір Острог,"вулиця Відважних, буд. 169, Донецьк, 53091",+380 84 094 90 25,skorobohatkopanas@example.org
Ємець,Артем,Олександрович,Чоловік,1970-07-21,Антрополог,місто Хрустальний,"сквер Вєтрогонова, буд. 353, Балаклія, 68982",812 03 49,kartym@example.org
Смик,Богдан,Петрович,Чоловік,1969-05-07,Кур'єр,хутір Андрушівка,"проспект Воронезька, буд. 6 кв. 403, Оріхів, 33402",338-26-77,geregaievhen@example.com
Бандера,Назар,Миколайович,Чоловік,1984-08-19,Євнух,хутір Костопіль,"проспект 40-річчя оборони Одеси, буд. 3, Роздільна, 50494",+380 06 348 91 97,iakymenkoiustym@example.com
Таран,Мирон,Григорійович,Чоловік,1969-07-12,Фізик,селище Радивилів,"шосе Вітчизняна, буд. 15 кв. 711, Миколаївка , 10083",+380 64 232-59-56,leonidchubai@example.net
Вітер,Борислав,Сергійович,Чоловік,2006-10-28,Бібліотекар,селище Ватутіне,"шосе Молокова, буд. 6 кв. 96, Ясинувата, 87183",010 259 52 20,zharkooles@example.org
Кащенко,Дмитро,Романович,Чоловік,1958-07-30,Паралегал,село Тернопіль,"площа Івана Франка, буд. 37, Тернівка , 97265",173 45 68,iustyna39@example.net
Корсун,Аврелій,Вікторович,Чоловік,1987-04-24,Візажист,село Ялта,"шосе 14-та ст. Великого Фонтану пляж, буд. 7 кв. 84, Арциз, 31179",+380 58 360 80 85,iefremoliinyk@example.com
Гаврилець,Ярослав,Михайлович,Чоловік,2000-07-14,Флорист,місто Мелітополь,"площа Верхня, буд. 486 кв. 4, Галич, 20183",033 604-41-92,jromanchuk@example.org
Франчук,Ілля,Олександрович,Чоловік,1940-08-12,Історик,місто Чуднів,"площа Кострова, буд. 24 кв. 895, Пологи , 53202",+380 (61) 906-35-86,makar83@example.com
Аврамчук,Орхип,Сергійович,Чоловік,1993-01-14,Нотаріус,хутір Городище ,"узвіз Лавкова, буд. 91 кв. 431, Андрушівка, 66748",988 17 65,shtepaarkadii@example.org
Гречаник,Тимофій,Григорійович,Чоловік,1992-03-15,Складальник,селище Одеса,"вулиця Компасний, буд. 2 кв. 338, Залізне, 29267",470-58-43,vertyporokhmykyta@example.com
Вовк,Йосип,Володимирович,Чоловік,2002-03-02,Музикознавець,хутір Сулимівка (Слов'янськ),"провулок Рішельєвська, буд. 1, Кропивницький, 11696",759-21-25,artemzhuk@example.org
Михайличенко,Опанас,Петрович,Чоловік,1993-12-25,Шериф,хутір Дергачі,"площа Кутова, буд. 3 кв. 76, Остер , 10259",+380 09 230-05-54,ustymhuzenko@example.org
Вишняк,Борис,Петрович,Чоловік,1976-04-27,Різноробочий,місто Часів Яр,"проспект Гагаріна, буд. 5 кв. 0, Хуст, 44314",910-11-24,nosachenkozynovii@example.net
Рудько,Сергій,Федорович,Чоловік,1960-06-22,Кінорежисер,село Овруч,"набережна Дмитрія Донського, буд. 128 кв. 139, Авдіївка, 80630",+380 73 670-81-58,tveres@example.com
Ірванець,Петро,Володимирович,Чоловік,1969-07-22,Петрограф,місто Долинська,"провулок Колонтаївська, буд. 68 кв. 6, Генічеськ, 21461",049 305-07-16,hlibkovalenko@example.com
Сірко,Григорій,Юрійович,Чоловік,1960-09-29,Професор,село Белз,"вулиця Станційна 2-га, буд. 051 кв. 4, Валки , 40326",695-15-57,halyna57@example.com
Скоробогатько,Лукʼян,Сергійович,Чоловік,1979-01-25,Історик,селище Харків,"проспект Ліверпульський, буд. 190, Павлоград, 29498",098 276 51 35,stepandemianchuk@example.net
Носенко,Трохим,Михайлович,Чоловік,1971-11-13,Співак,село Лутугине,"сквер Вапняний 3-й, буд. 108, Жашків, 61429",161-87-78,iustymzabashta@example.com
Кармалюк,Борислав,Іванович,Чоловік,1990-05-09,Пекар,хутір Бібрка,"провулок Косяченка Олексія, буд. 77, Павлоград, 71530",+380 85 910 51 76,teslenkoarsen@example.net
Рябовіл,Мартин,Павлович,Чоловік,2007-03-22,Педагог,хутір Вижниця,"проспект Вєтрова, буд. 0, Південне , 88572",171 97 13,solomonbebeshko@example.net
Назаренко,Пантелеймон,Володимирович,Чоловік,1961-02-13,Композитор,місто Тячів,"набережна Амбулаторний 1-й, буд. 18, Снігурівка, 44605",+380 (84) 723-92-79,nataliia29@example.org
Затовканюк,Франц,Олександрович,Чоловік,1996-08-08,Електромонтер,хутір Володимир-Волинський,"вулиця Рощева, буд. 701 кв. 28, Одеса, 38145",028 267 22 22,feofan36@example.org
Ґерус,Яків,Петрович,Чоловік,1942-01-08,Кінорежисер,селище Устилуг,"узвіз Алмазна, буд. 09, Самбір, 11360",+380 66 585 29 22,amaliia11@example.com
Дацюк,Лукʼян,Андрійович,Чоловік,1987-02-07,Агроном,хутір Географія Вільнянська,"провулок Дзвінка, буд. 1, Березівка, 39818",858 17 57,hryhoriishcherbak@example.net
Килимник,Стефан,Вікторович,Чоловік,2007-02-17,Фізик,село Шостка,"парк Куниці, буд. 10 кв. 080, Дубно, 13562",+380 18 357-22-03,shabliiazar@example.net
Єременко,Богодар,Олегович,Чоловік,2003-12-21,Науковець,селище Скадовськ,"узвіз Кондрашина, буд. 928, Бурштин , 26607",699-50-57,tandrusenko@example.org
Стус,Ярослав,Миколайович,Чоловік,1971-10-06,Палеонтолог,місто Нікополь,"набережна Сінна, буд. 404 кв. 150, Кременець, 77920",436 02 57,darynavashchuk@example.net
Гузій,Тимофій,Дмитрович,Чоловік,1998-06-17,Ветеринар,хутір Сокаль,"узвіз Каспійський, буд. 4 кв. 1, Мостиська, 19625",+380 81 678-72-70,sviatoslava01@example.org
Оберемко,Прохір,Сергійович,Чоловік,1978-06-22,Паблік рилейшнз,хутір Татарбунари,"площа Ляпідевського, буд. 045, Вінниця, 97925",+380 23 138-91-83,martavelychko@example.net
Авдєєнко,Євген,Михайлович,Чоловік,2006-05-03,Кухар,місто Прип'ять ,"проспект 7-ма Лінія Дачі Ковалевського, буд. 224 кв. 1, Хуст, 42657",803-08-95,iiemets@example.net
Голобородько,Альберт,Романович,Чоловік,1957-06-03,Вчитель,село Жовква,"проспект Нікітіна, буд. 92 кв. 28, Хорол , 55927",+380 12 738-16-17,ieromenkodavyd@example.com
Цушко,Ростислав,Григорійович,Чоловік,1966-06-30,Режисер,хутір Зіньків,"провулок Конструкторський, буд. 4, Нововолинськ, 65634",096 024-17-78,makar27@example.net
Іщенко,Тимофій,Іванович,Чоловік,1957-03-08,Співак,селище Голубівка,"шосе Весела, буд. 1, Новомосковськ, 11674",+380 64 738-35-62,milenatokar@example.net
Приходько,Сергій,Олегович,Чоловік,2005-10-21,Публіцист,місто Калуш,"проспект Лермонтовський 2-й, буд. 3 кв. 058, Гребінка, 05123",193-60-87,klavdiia88@example.com
Малик,Зиновій,Володимирович,Чоловік,1984-09-05,Прокурор,місто Ямпіль,"вулиця Тінистий, буд. 54, Лозова , 83277",+380 69 995-20-62,leonbashtan@example.com
Стельмах,Віталій,Сергійович,Чоловік,1964-12-21,Шериф,село Сватове,"парк Дніпропетровська дорога, буд. 84, Миронівка, 59866",607 47 45,andriishynborys@example.com
Бевз,Кирило,Олександрович,Чоловік,1987-05-31,Кінорежисер,місто Дрогобич,"узвіз Поїзна, буд. 630 кв. 4, Підгородне, 91975",+380 (15) 644-93-58,feofanvakhnii@example.org
Остапчук,Михайло,Тарасович,Чоловік,1976-06-12,Соціолог,село Чигирин,"набережна Радісна, буд. 362 кв. 911, Чортків, 26934",+380 65 550 56 88,ievashukhevych@example.net
Цимбалюк,Орхип,Максимович,Чоловік,1956-07-04,Інженер,село Володимир-Волинський,"сквер Казковий, буд. 9 кв. 203, Андрушівка, 59403",814-26-34,frants03@example.org
Доценко,Олег,Романович,Чоловік,1941-08-16,Флорист,хутір Красногорівка,"сквер Велика Арнаутська, буд. 6, Мирноград, 30363",+380 73 604 51 03,ustym19@example.com
Засенко,Орхип,Миколайович,Чоловік,1983-08-27,Прокурор,місто Червоноград,"шосе Тінистий, буд. 201 кв. 2, Кіцмань, 48753",+380 85 411-64-20,kolisnychenkodanna@example.com
Дахно,Левко,Іванович,Чоловік,1945-08-10,Зоолог,село Сімферополь,"сквер Горбиста, буд. 51, Белз, 80048",+380 55 822-00-15,lavrenkolarysa@example.com
Гоголь,Варфоломій,Федорович,Чоловік,1968-02-07,Нотаріус,місто Вуглегірськ,"узвіз Крилова, буд. 53, Бучач, 32196",+380 29 658-37-70,mdeineko@example.org
Гузій,Валентин,Сергійович,Чоловік,1996-12-26,Машиніст,село Волочиськ,"парк Пересипська 5-та, буд. 796 кв. 73, Кролевець, 25179",023 20 29,uzasenko@example.org
Забара,Степан,Федорович,Чоловік,1954-12-04,Дерун,хутір Армянськ,"провулок Покровський, буд. 94 кв. 369, Брянка, 37109",+380 (85) 106-17-78,leopoldvertyporokh@example.org
Носенко,Ярема,Тарасович,Чоловік,1987-09-16,Дипломат,село Золочів,"узвіз Бібліотечна, буд. 2 кв. 762, Радехів, 36979",+380 27 746-41-25,vashchuksofiia@example.net
Христенко,Йосип,Максимович,Чоловік,1982-07-15,Зоолог,хутір Іллінці,"парк Композитора Ніщинського, буд. 26 кв. 69, Хоростків, 13450",608 84 60,rudykazar@example.net
Петлюра,Арсен,Федорович,Чоловік,2002-12-08,Євнух,місто Білопілля,"проспект Болградська, буд. 3 кв. 18, Вільногірськ, 94956",+380 (70) 136-76-03,svyrydenkodemian@example.com
Титаренко,Хома,Іванович,Чоловік,1991-11-30,Біолог,село Полонне,"набережна Рибальська балка, буд. 770, Вільногірськ, 73633",046 101 29 84,veniiamynvenhrynovych@example.org
Байдак,Болеслав,Іванович,Чоловік,1989-12-06,Етнограф,місто Здолбунів,"шосе Севастопольський, буд. 27 кв. 750, Коростень, 88308",+380 34 321 99 96,gbairak@example.org
Міщенко,Богодар,Юрійович,Чоловік,2007-10-15,Фармацевт,селище Белз,"вулиця Грецька, буд. 258, Вовчанськ, 75183",+380 09 049-38-50,ivan06@example.com
Макаренко,Герман,Олегович,Чоловік,1957-01-12,Драматург,місто Ірміно,"сквер Садиковська, буд. 863, Сорокине, 95417",055 325-04-44,nalyvaikoopanas@example.com
Ванченко,Едуард,Романович,Чоловік,1969-12-20,Будник,хутір Хирів,"шосе Учительський, буд. 2 кв. 2, Запоріжжя, 09338",+380 68 450-61-96,ivanvermenych@example.net
Затула,Леонід,Богданович,Чоловік,2008-03-20,Краєзнавець,село Барвінкове,"шосе Обсерваторний, буд. 54, Вугледар, 38146",+380 49 880-59-99,frants77@example.net
Килимник,Амвросій,Вікторович,Чоловік,1975-08-22,Дерун,село Коростишів,"площа Магнітогорська, буд. 51, Новий Калинів, 15897",+380 33 219-41-90,nshapoval@example.net
Їжакевич,Максим,Вікторович,Чоловік,2001-03-03,Археолог,хутір Новомосковськ,"узвіз Кругова, буд. 3, Нікополь, 75033",+380 17 701 05 83,iefymenkooksana@example.com
Токар,Леон,Максимович,Чоловік,1948-04-11,Редактор,місто Шумськ,"узвіз Шкіперська, буд. 90, Сватове, 83384",+380 19 392 24 51,satsiukomelian@example.net
Дробʼязко,Азар,Олегович,Чоловік,1966-05-20,Архітектор,селище Кременець,"вулиця Дерибасівська, буд. 230 кв. 15, Снігурівка, 76291",+380 60 752-52-27,kabanenkoieva@example.org
Вернигора,Аарон,Тарасович,Чоловік,1967-01-02,Громадський діяч,селище Львів,"проспект Топольського, буд. 1, Новоазовськ, 82873",+380 45 334-52-82,eiefymenko@example.org
Карась,Роман,Юрійович,Чоловік,1957-06-18,Вчитель,місто Перечин,"набережна Маловського, буд. 83 кв. 099, Тараща, 70742",037 911 76 23,iurchenkopanteleimon@example.org
Доценко,Макар,Андрійович,Чоловік,2000-10-31,Фізик,місто Жмеринка,"провулок Моторний 2-й, буд. 7, Шаргород, 10099",129-90-74,martyn39@example.org
Тягнибок,Ілля,Михайлович,Чоловік,1972-05-04,Піаніст,село Брянка,"проспект Щоголєва, буд. 0 кв. 69, Нова Одеса, 47195",+380 90 651-35-63,datsenkobohodar@example.org
Ґалаґан,Борислав,Дмитрович,Чоловік,1940-08-23,Лікар,хутір Дніпро ,"площа Радісний, буд. 873, Перечин, 84595",+380 84 825 09 86,pylyp58@example.net
Непорожній,Макар,Романович,Чоловік,1979-08-02,Детектив,село Перещепине,"сквер Яхненка Семена, буд. 915, Токмак, 13630",066 979-12-02,etkach@example.com
Авдєєнко,Олег,Григорійович,Чоловік,1966-09-03,Дизайнер,хутір Монастирище,"набережна Теплична, буд. 2 кв. 88, Кагарлик, 49585",+380 09 335-41-23,kyrylozarudnyi@example.net
Адаменко,Мирослав,Петрович,Чоловік,1979-10-15,Палеонтолог,селище Новоазовськ,"проспект Байкальська, буд. 29 кв. 6, Буринь, 93769",+380 07 170-90-86,zakhar55@example.org
Адамчук,Франц,Іванович,Чоловік,1946-05-07,Співак,хутір Жашків,"провулок Базарна, буд. 065 кв. 8, Косів, 67095",035 014-85-79,iakivshutko@example.org
Жайворон,Борис,Миколайович,Чоловік,1995-05-19,Швачка,місто Ірпінь,"проспект Дежньова, буд. 65, Здолбунів, 02939",+380 01 649 82 95,ihnat22@example.com
Рябошапка,Кирило,Олегович,Чоловік,1999-05-26,Золотар,селище Очаків,"провулок Ясна, буд. 2 кв. 48, Герца, 36036",527-87-37,demianiukiakiv@example.net
Вакуленко,Пармен,Дмитрович,Чоловік,1948-12-17,Ботанік,селище Бахчисарай,"площа Олександра Кутузакія, буд. 0 кв. 562, Токмак, 69122",+380 (12) 558-88-96,fursanita@example.org
Лазаренко,Охрім,Андрійович,Чоловік,1990-09-23,Піаніст,село Рахів,"провулок Садова 1-ша, буд. 089, Носівка, 91932",+380 (29) 736-20-65,wpoltavets@example.com
Удовенко,Єлисей,Олегович,Чоловік,2003-03-23,Режисер,місто Костопіль,"узвіз 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 0 кв. 7, Малин, 69166",091 234-21-98,valentynakhudiak@example.net
Ємельяненко,Спас,Вікторович,Чоловік,1970-09-04,Режисер,село Южноукраїнськ,"узвіз Аеродромна, буд. 23 кв. 15, Пирятин, 62561",+380 (75) 506-31-36,vasylyna15@example.org
Рудик,Омелян,Володимирович,Чоловік,1978-05-30,Конструктор,хутір Святогірськ,"сквер Лазурний 2-й, буд. 32, Буча, 92978",896 00 95,andriichumak@example.org
Якименко,Кирило,Євгенович,Чоловік,2007-01-15,Шериф,село Жовква,"парк Дмитрія Донського, буд. 837, Кілія, 53121",035 841 54 00,drobakhaodarka@example.com
Франчук,Богдан,Євгенович,Чоловік,1951-04-27,Електромонтажник,місто Білицьке,"провулок Старорізнична, буд. 344 кв. 0, Жмеринка, 62356",+380 59 344 34 14,stetsalla@example.net
Фурс,Максим,Миколайович,Чоловік,1977-04-07,Швачка,місто Тиврів,"парк Суперфосфатна, буд. 16, Тетіїв, 40933",425-49-20,rozaliiaartymyshyn@example.org
Василенко,Левко,Іванович,Чоловік,1973-11-08,Кушнір,місто Єнакієве,"набережна Смоленська, буд. 5 кв. 34, Малин, 82267",076 329-09-85,ziakovenko@example.com
Перебийніс,Євген,Вікторович,Чоловік,2000-03-19,Мовознавець,місто Білопілля,"вулиця Мічманський 2-й, буд. 81 кв. 3, Кадіївка, 35092",991 69 24,roksolana73@example.net
Сацюк,Арсен,Юрійович,Чоловік,1975-04-23,Швачка,хутір Миронівка,"набережна Ушакова, буд. 047 кв. 5, Дубно, 50610",+380 (73) 454-98-76,emiliiaprymachenko@example.net
Данькевич,Симон,Романович,Чоловік,1988-08-28,Кухар,місто Лебедин,"площа Кипарисний 2-й, буд. 425 кв. 2, Часів Яр, 21817",+380 85 612 35 94,zorian23@example.com
Сірко,Яків,Максимович,Чоловік,1989-03-17,Секретар,селище Соледар,"набережна Приморський, буд. 41 кв. 677, Кремінна, 18779",+380 (88) 274-78-37,ustymiatsenko@example.net
Шиян,Орест,Олегович,Чоловік,1952-07-05,Математик,селище Зугрес,"парк Героїв Небесної Сотні, буд. 7 кв. 98, Алмазна, 79841",+380 49 164-06-97,alevtynteslia@example.com
Конопля,Артем,Михайлович,Чоловік,1942-08-19,Астрофізик,хутір Авдіївка,"набережна Туристська, буд. 068, Сєвєродонецьк, 97435",+380 (38) 994-16-58,leontkachenko@example.org
Щербань,Альберт,Вікторович,Чоловік,1955-04-19,Футболіст,село Полонне,"парк Спиридонівська, буд. 928 кв. 953, Миколаївка , 99844",005 144-25-90,atelychenko@example.net
Цюпа,Адам,Володимирович,Чоловік,1944-01-08,Гірник,хутір Сміла,"парк Авдєєва-Чорноморського, буд. 0, Фастів, 86403",+380 (35) 464-05-60,partymovych@example.net
Рубан,Єфрем,Іванович,Чоловік,2005-04-20,Золотар,село Овруч,"набережна Штабний, буд. 835, Корсунь-Шевченківський, 37495",770-71-09,eredko@example.com
Цюпа,Мирон,Петрович,Чоловік,1967-01-27,Інженер,хутір Кам'янка-Бузька,"вулиця Молодіжна, буд. 9 кв. 780, Інкерман, 26351",061 336 21 52,adasvyrydenko@example.net
Їжак,Захар,Сергійович,Чоловік,1998-06-23,Кінорежисер,місто Новий Розділ,"шосе Моторний 2-й, буд. 4 кв. 98, Трускавець, 71664",+380 62 053-35-99,ielysaveta46@example.com
Гоголь-Яновський,Венедикт,Павлович,Чоловік,1981-07-21,Громадський діяч,місто Вишгород,"вулиця Чорноморський 6-й, буд. 514, Новогродівка, 87754",+380 38 774-03-26,havriushenkolevko@example.com
Вертипорох,Веніямин,Олегович,Чоловік,1964-06-06,Піаніст,село Першотравенськ,"шосе Будівельний, буд. 463, Мирноград, 46730",365-25-63,olena21@example.com
Прокопович,Ігнат,Богданович,Чоловік,2004-10-19,Єгер,село Ніжин,"парк Горизонтальна, буд. 0 кв. 95, Київ, 87727",+380 25 850-51-89,orest28@example.net
Вернигора,Гаврило,Сергійович,Чоловік,1960-04-19,Музикознавець,місто Краматорськ,"сквер Лінія 24-та, буд. 8 кв. 096, Перевальськ, 11946",909 56 45,xzabara@example.org
Заїка,Опанас,Євгенович,Чоловік,2003-08-24,Стиліст,село Свалява,"набережна Сонячна, буд. 6, Боярка, 21459",+380 23 861-02-83,viacheslavchernenko@example.org
Гупало,Трохим,Петрович,Чоловік,1968-10-01,Слідчий,хутір Полтава,"провулок Північний, буд. 1, Черкаси, 32804",+380 22 024-81-07,roksolanapavlyk@example.org
Семенченко,Ростислав,Максимович,Чоловік,1942-08-28,Няня,місто Бар,"шосе Проїзний 1-й, буд. 19, Рожище, 53236",138-30-82,korolenkomyron@example.net
Батіг,Стефан,Євгенович,Чоловік,1940-12-26,Фармацевт,хутір Кобеляки,"проспект Рівності, буд. 34 кв. 788, Снятин, 83586",284 45 86,dannaprytula@example.net
Якименко,Веніямин,Сергійович,Чоловік,1980-05-01,Мінералог,село Донецьк,"набережна Кифоренка Бориса, буд. 10 кв. 504, Шепетівка, 20997",+380 10 937 49 58,dankivpanteleimon@example.com
Венгринович,Тимофій,Євгенович,Чоловік,1958-07-15,Підприємець,хутір Зборів,"провулок Польова, буд. 76 кв. 409, Чуднів, 47752",+380 23 500-56-60,piatachenkomyron@example.com
Годунок,Адам,Іванович,Чоловік,1972-07-15,Доцент,місто Південне ,"набережна 6-та Суворовська, буд. 4, Полонне, 80933",784-89-69,gbabych@example.org
Литвиненко,Тарас,Богданович,Чоловік,1989-02-23,Гірник,місто Мена ,"площа Косяченка Олексія, буд. 75, Зеленодольськ, 38520",030 995 43 80,zzatula@example.com
Притула,Антон,Максимович,Чоловік,1987-07-12,Професор,хутір Славута,"площа Заводська 2-га, буд. 1 кв. 93, Миколаївка , 52274",028 382-58-41,leonid91@example.com
Штокало,Макар,Євгенович,Чоловік,1976-07-18,Доцент,місто Ізяслав,"вулиця Амбулаторний 2-й, буд. 61 кв. 0, Маріуполь, 93688",+380 (86) 917-35-89,ivanhuk@example.org
Палій,Трохим,Сергійович,Чоловік,1997-04-08,Кухар,місто Чуднів,"сквер Лінія 30-та, буд. 8, Тульчин, 83662",421 70 67,zakhar53@example.org
Ажажа,Леон,Романович,Чоловік,1968-02-04,Археолог,село Бровари,"набережна Одеса-Головна, буд. 80, Брянка, 19435",+380 27 369 08 55,ievahavrylyshyn@example.net
Андрієнко,Валерій,Петрович,Чоловік,1995-04-09,Електротехнік,село Білопілля,"шосе Кедровий, буд. 70 кв. 1, Шахтарськ, 73813",320 74 44,alevtynlevchenko@example.net
Перепелиця,Гліб,Олександрович,Чоловік,1997-11-02,Няня,хутір Герца,"узвіз Вознесенський, буд. 64, Зміїв, 89472",+380 33 202-58-17,vasylynamykhailychenko@example.com
Опанасенко,Остап,Юрійович,Чоловік,1954-06-02,Швачка,місто Шаргород,"парк Байдарочний, буд. 06 кв. 351, Боярка, 04464",+380 (56) 296-50-54,avhustyniashchenko@example.org
Вакуленко,Миколай,Іванович,Чоловік,1942-06-08,Провізор,селище Дубно,"парк Чернівецький, буд. 913, Голубівка, 56677",+380 16 870-15-78,nataliia01@example.org
Копитко,Михайло,Романович,Чоловік,2000-03-21,Гірничий інженер,місто Приморськ (Україна),"сквер Західний 4-й, буд. 581 кв. 3, Яремче, 77590",+380 47 160 11 82,haidaburaandrii@example.net
Кириленко,Миколай,Володимирович,Чоловік,1939-09-14,Намотувальник,село Охтирка,"сквер Професора Каришковського, буд. 335, Міусинськ, 46222",069 936-93-49,zlatoslava66@example.net
Цушко,Орхип,Андрійович,Чоловік,1982-03-23,Модель,село Хрестівка,"провулок Зарічна, буд. 1, Хмільник, 11107",+380 36 385-18-34,protsenkoklavdiia@example.net
Проценко,Трохим,Вікторович,Чоловік,1995-07-21,Флорист,хутір Кропивницький,"вулиця Транспортна, буд. 96, Великі Мости, 83858",363 19 12,feofan87@example.com
Данько,Адам,Олегович,Чоловік,1943-08-22,Біолог,село Каховка,"парк Рєпіна, буд. 5 кв. 9, Слов'янськ, 87866",+380 (82) 161-01-86,kkhomyk@example.com
Парасюк,Хома,Вікторович,Чоловік,2005-04-30,Педагог,місто Рені,"узвіз Спортивний, буд. 8 кв. 38, Тараща, 26481",+380 20 332-92-43,khomykdanna@example.net
Шаповал,Назар,Григорійович,Чоловік,1950-11-04,Євнух,село Вільногірськ,"парк Проектний 5-й, буд. 3 кв. 052, Тульчин, 21601",+380 82 368-40-46,makar18@example.com
Ящук,Едуард,Тарасович,Чоловік,2003-09-19,Слідчий,хутір Шпола,"вулиця Чернишевського, буд. 12 кв. 49, Генічеськ, 59341",025 502 59 93,tovstolisihnat@example.org
Кальченко,Богуслав,Володимирович,Чоловік,1969-01-15,Клавішник,хутір Кременець,"площа Соціальна, буд. 2 кв. 7, Кременець, 57203",+380 84 656-63-60,fnikoliuk@example.org
Чаленко,Валерій,Богданович,Чоловік,1978-08-26,Стропальник,місто Світловодськ,"сквер Об'їзна дорога, буд. 843, Кривий Ріг, 55906",055 663 48 36,spasromanchuk@example.com
Кириленко,Орест,Романович,Чоловік,1978-12-26,Промисловець,селище Калинівка ,"площа Наливна, буд. 383, Гнівань, 48493",+380 (91) 343-10-17,lesivasiuk@example.com
Семенченко,Прохір,Петрович,Чоловік,1944-07-05,Реставратор,село Белз,"узвіз Китобійний 2-й, буд. 3, Вуглегірськ, 18424",+380 (61) 098-60-63,mykytaskyba@example.com
Колісниченко,Тарас,Андрійович,Чоловік,1981-01-02,Патологоанатом,місто Переяслав,"парк Манежний, буд. 1, Ужгород, 11881",077 548 82 66,parmen24@example.org
Нестеренко,Федір,Олегович,Чоловік,1992-09-13,Провізор,селище Долинська,"площа Перемоги, буд. 83 кв. 72, Київ, 12260",369-19-59,myron20@example.org
Стець,Ростислав,Михайлович,Чоловік,1955-09-02,Няня,хутір Первомайськ,"вулиця Поштова, буд. 5, Вилкове, 95351",087 534 78 18,tymchenkoiustyna@example.org
Панчук,Лесь,Олександрович,Чоловік,1983-07-12,Швачка,хутір Охтирка,"сквер Бузковий 2-й, буд. 07, Хуст, 24755",+380 41 942 74 85,hlib68@example.com
Ковалюк,Франц,Максимович,Чоловік,1996-02-26,Акушер,хутір Кременець,"вулиця Топольського, буд. 97 кв. 607, Скалат, 35028",+380 30 333-88-16,dvenhrynovych@example.com
Сіробаба,Олександр,Богданович,Чоловік,1957-12-21,Льотчик,селище Хмельницький,"набережна Москвіна, буд. 92, Новомиргород, 02453",+380 03 768 40 69,zzabara@example.org
Зайченко,Аврелій,Миколайович,Чоловік,2004-12-27,Письменник,хутір Нововолинськ,"сквер Гранатна, буд. 068 кв. 26, Турка, 25527",030 771-35-15,vlytvyn@example.net
Ісаєнко,Віктор,Олегович,Чоловік,1974-11-27,Адвокат,місто Василівка ,"провулок Лиманчик 2-й Лінія 2-га, буд. 11, Галич, 21558",+380 82 982 56 44,shutkosnizhana@example.net
Полтавець,Охрім,Дмитрович,Чоловік,1985-11-08,Слідчий,хутір Збараж,"узвіз Курська, буд. 677 кв. 4, Мирноград, 03089",032 376-32-28,matiashspas@example.org
Ажажа,Устим,Євгенович,Чоловік,1990-09-14,Флорист,місто Новогродівка,"провулок Вітчизняна, буд. 07, Святогірськ, 53050",+380 (57) 124-76-48,kyrylokozak@example.com
Жаліло,Стефан,Михайлович,Чоловік,1966-02-17,Електрослюсар,місто Буча,"вулиця Дмитрія Донського, буд. 60, Дубровиця, 47456",831-07-93,adam45@example.net
Швайка,Георгій,Євгенович,Чоловік,1948-10-06,Каскадер,селище Борислав,"шосе Ширшова, буд. 733 кв. 0, Жданівка, 51492",+380 (83) 667-05-27,pdeineka@example.org
Гайдамака,Ярема,Євгенович,Чоловік,1990-09-10,Публіцист,селище Ніжин,"вулиця Зоряна, буд. 2, Новоград-Волинський, 23675",+380 09 670-85-28,symonenkokhrystyna@example.net
Андрусенко,Ігнат,Євгенович,Чоловік,1969-11-06,Продюсер,селище Погребище,"вулиця Офіцерський 2-й, буд. 545, Галич, 09983",488-89-30,irenaovsiienko@example.org
Харченко,Онисим,Богданович,Чоловік,1964-08-26,Підприємець,селище Старокостянтинів,"шосе Дворянська, буд. 9, Сколе, 17752",096 700-86-83,mliashko@example.org
Бабко,Максим,Андрійович,Чоловік,2005-05-09,Стропальник,місто Перемишляни,"набережна Павла Кравцова, буд. 500 кв. 468, Хотин, 56273",+380 77 498 47 93,zlatoslava10@example.net
